Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1.0,2020-01-30,80.96749877929688,0.08096749877929688,2020-02-24,74.54499816894531,0.07454499816894532,-6.578013107299805,-0.0812426369404137,Long,Closed,0
1,0,1.0,2020-02-24,74.54499816894531,0.07454499816894532,2020-04-08,66.51750183105469,0.06651750183105469,7.886433837890625,0.10579427234027397,Short,Closed,1
2,0,1.0,2020-04-08,66.51750183105469,0.06651750183105469,2020-07-28,93.25250244140624,0.09325250244140623,26.57523060607909,0.3995223794419779,Long,Closed,2
3,0,1.0,2020-07-28,93.25250244140624,0.09325250244140623,2020-07-31,106.26000213623048,0.10626000213623049,-13.207012199401882,-0.14162635697310433,Short,Closed,3
4,0,1.0,2020-07-31,106.26000213623048,0.10626000213623049,2020-09-09,117.31999969482422,0.11731999969482422,10.836417556762681,0.10198021211094903,Long,Closed,4
5,0,1.0,2020-09-09,117.31999969482422,0.11731999969482422,2020-10-01,116.79000091552734,0.11679000091552734,0.29588877868652347,0.002522065968770857,Short,Closed,5
6,0,1.0,2020-10-01,116.79000091552734,0.11679000091552734,2020-10-23,115.04000091552734,0.11504000091552735,-1.9818300018310548,-0.01696917532575829,Long,Closed,6
7,0,1.0,2020-10-23,115.04000091552734,0.11504000091552735,2020-11-10,115.97000122070312,0.11597000122070313,-1.1610103073120117,-0.01009223138101789,Short,Closed,7
8,0,1.0,2020-11-10,115.97000122070312,0.11597000122070313,2020-11-25,116.02999877929688,0.11602999877929687,-0.17200244140624998,-0.0014831632283844787,Long,Closed,8
9,0,1.0,2020-11-25,116.02999877929688,0.11602999877929687,2020-12-01,122.72000122070312,0.12272000122070313,-6.92875244140625,-0.05971518154184916,Short,Closed,9
10,0,1.0,2020-12-01,122.72000122070312,0.12272000122070313,2021-01-12,128.8000030517578,0.12880000305175782,5.828481826782227,0.04749414739900564,Long,Closed,10
11,0,1.0,2021-01-12,128.8000030517578,0.12880000305175782,2021-01-22,139.07000732421875,0.13907000732421876,-10.537874282836913,-0.08181579218287989,Short,Closed,11
12,0,1.0,2021-01-22,139.07000732421875,0.13907000732421876,2021-02-12,135.3699951171875,0.1353699951171875,-3.9744522094726564,-0.028578787662007363,Long,Closed,12
13,0,1.0,2021-02-12,135.3699951171875,0.1353699951171875,2021-03-18,120.52999877929688,0.12052999877929688,14.58409634399414,0.10773507328096553,Short,Closed,13
14,0,1.0,2021-03-18,120.52999877929688,0.12052999877929688,2021-03-23,122.54000091552734,0.12254000091552734,1.7669321365356445,0.014659687666396507,Long,Closed,14
15,0,1.0,2021-03-23,122.54000091552734,0.12254000091552734,2021-04-05,125.9000015258789,0.1259000015258789,-3.608440612792969,-0.029447042482727243,Short,Closed,15
16,0,1.0,2021-04-05,125.9000015258789,0.1259000015258789,2021-05-04,127.8499984741211,0.1278499984741211,1.6962469482421876,0.01347297003720466,Long,Closed,16
17,0,1.0,2021-05-04,127.8499984741211,0.1278499984741211,2021-06-09,127.12999725341795,0.12712999725341795,0.4650212249756002,0.0036372407549909204,Short,Closed,17
18,0,1.0,2021-06-09,127.12999725341795,0.12712999725341795,2021-08-02,145.52000427246094,0.14552000427246095,18.1173570175171,0.14251048068067199,Long,Closed,18
19,0,1.0,2021-08-02,145.52000427246094,0.14552000427246095,2021-08-04,146.9499969482422,0.14694999694824218,-1.722462677001953,-0.011836604084871664,Short,Closed,19
20,0,1.0,2021-08-04,146.9499969482422,0.14694999694824218,2021-08-10,145.60000610351562,0.14560000610351562,-1.6425408477783203,-0.01117754938339227,Long,Closed,20
