Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1233.829640364833,2020-01-30,80.96749877929688,99.90009990008548,2020-02-24,74.54499816894531,91.97582828178693,-8116.1475464948535,-0.08124263694041348,Long,Closed,0
1,0,1379.9685476200123,2020-04-08,66.51750183105469,91.79206039309793,2020-07-28,93.25250244140624,128.68552035599902,36672.98238213787,0.399522379441978,Long,Closed,1
2,0,1208.6241657003013,2020-07-31,106.26000213623048,128.42840642920055,2020-09-09,117.31999969482422,141.79578675111654,13097.156128722416,0.1019802121109492,Long,Closed,2
3,0,1211.6831695911505,2020-10-01,116.79000091552734,141.5124784858781,2020-10-23,115.04000091552734,139.39203293909503,-2401.3500582094985,-0.016969175325758364,Long,Closed,3
4,0,1199.5647660124575,2020-11-10,115.97000122070312,139.11352737876587,2020-11-25,116.02999877929688,139.185498336113,-206.3280683790375,-0.001483163228384319,Long,Closed,4
5,0,1131.905182941854,2020-12-01,122.72000122070314,138.90740543234278,2021-01-12,128.8000030517578,145.78939101721127,6597.288788417196,0.04749414739900555,Long,Closed,5
6,0,1046.222016681617,2021-01-22,139.07000732421875,145.4981035226665,2021-02-12,135.3699951171875,141.62706928968456,-4158.159405799209,-0.028578787662007478,Long,Closed,6
7,0,1172.688123734976,2021-03-18,120.52999877929689,141.3440981222666,2021-03-23,122.54000091552734,143.701203756112,2072.060331961004,0.014659687666396411,Long,Closed,7
8,0,1139.1110939296775,2021-04-05,125.9000015258789,143.4140884638764,2021-05-04,127.8499984741211,145.63535162076369,1932.2137167870496,0.01347297003720476,Long,Closed,8
9,0,1143.2736178505506,2021-06-09,127.12999725341794,145.34437189722667,2021-08-02,145.52000427246094,166.36918175420402,20713.096303306877,0.14251048068067226,Long,Closed,9
10,0,1129.886214663438,2021-08-04,146.9499969482422,166.0367757966451,2021-08-10,145.60000610351562,164.51143975127474,-1855.8842609263315,-0.011177549383392334,Long,Closed,10
11,0,1102.7117082342622,2021-08-12,148.88999938964844,164.18274556595134,2021-09-15,149.02999877929688,164.33712453206846,-174.14090398702848,-0.001060652892523779,Long,Closed,11
12,0,1119.131867714692,2021-10-18,146.5500030517578,164.0087786288932,2021-11-12,149.99000549316406,167.8585949861016,3517.948983579073,0.02144976026886291,Long,Closed,12
13,0,1091.4275013521872,2021-11-17,153.49000549316406,167.5232131779194,2022-01-10,172.19000244140625,187.93290412245102,20054.23482721311,0.11971018491575953,Long,Closed,13
14,0,1066.6368159159733,2022-02-02,175.83999633789062,187.55741380449035,2022-02-22,164.32000732421875,175.26976940359413,-12650.47158413803,-0.06744852857334978,Long,Closed,14
15,0,1036.1306270897348,2022-03-22,168.82000732421875,174.91958005412016,2022-04-12,167.66000366210938,173.71766473228863,-1550.5525666341819,-0.008864373937750688,Long,Closed,15
16,0,1146.554915635526,2022-06-02,151.2100067138672,173.37057649105554,2022-06-10,137.1300048828125,157.22708117951234,-16474.09296922352,-0.09502242711912835,Long,Closed,16
17,0,1129.4389219710172,2022-07-01,138.92999267578125,156.91294115714845,2022-08-26,163.6199951171875,184.79879089805937,27544.13800882845,0.17553770776138972,Long,Closed,17
18,0,1252.3226535894416,2022-10-21,147.27000427246094,184.42956254459568,2022-11-07,138.9199981689453,173.97266074357398,-10815.304024330893,-0.05864192201678342,Long,Closed,18
19,0,1166.9135752020522,2022-11-16,148.7899932861328,173.62506301980466,2022-12-02,147.80999755859375,172.48149270170526,-1489.6768738268495,-0.008579849290864635,Long,Closed,19
20,0,1290.284608421449,2023-01-12,133.41000366210938,172.13687433465384,2023-02-24,146.7100067138672,189.29766356431028,16799.354691742443,0.09759300415250426,Long,Closed,20
21,0,1235.8177045107468,2023-03-08,152.8699951171875,188.91944645426702,2023-08-04,181.9900054931641,224.90647083246026,35573.19846088179,0.18829823572179782,Long,Closed,21
22,0,1219.0805627140735,2023-08-29,184.1199951171875,224.4571072543622,2023-09-12,176.3000030517578,214.92390692682977,-9972.581341724821,-0.04442978644656177,Long,Closed,22
23,0,1198.3601427374867,2023-10-09,178.99000549316406,214.49448853134527,2023-10-23,173.0,207.3163046935852,-7599.994631011335,-0.035432120811345565,Long,Closed,23
24,0,1154.3943047184825,2023-11-06,179.22999572753906,206.90208630257985,2023-12-27,193.1499938964844,222.97125291051125,15639.293268709114,0.07558789545426355,Long,Closed,24
