schema_version,timestamp,unit,target_value
1,2020-01-02,shares,0.0
1,2020-01-03,shares,0.0
1,2020-01-06,shares,0.0
1,2020-01-07,shares,0.0
1,2020-01-08,shares,0.0
1,2020-01-09,shares,0.0
1,2020-01-10,shares,0.0
1,2020-01-13,shares,0.0
1,2020-01-14,shares,0.0
1,2020-01-15,shares,0.0
1,2020-01-16,shares,0.0
1,2020-01-17,shares,0.0
1,2020-01-21,shares,0.0
1,2020-01-22,shares,0.0
1,2020-01-23,shares,0.0
1,2020-01-24,shares,0.0
1,2020-01-27,shares,0.0
1,2020-01-28,shares,0.0
1,2020-01-29,shares,0.0
1,2020-01-30,shares,1235.0634700051976
1,2020-01-31,shares,1292.3653109083552
1,2020-02-03,shares,1295.92430264428
1,2020-02-04,shares,1254.508365510706
1,2020-02-05,shares,1244.3614397574772
1,2020-02-06,shares,0.0
1,2020-02-07,shares,0.0
1,2020-02-10,shares,1243.9745457478966
1,2020-02-11,shares,1251.5253538152465
1,2020-02-12,shares,1222.493841922309
1,2020-02-13,shares,1231.2617539693424
1,2020-02-14,shares,1230.9585627747358
1,2020-02-18,shares,1253.9184952978057
1,2020-02-19,shares,1236.0175700983932
1,2020-02-20,shares,1248.8292701982452
1,2020-02-21,shares,0.0
1,2020-02-24,shares,-1341.4716272896628
1,2020-02-25,shares,-1388.5032582770514
1,2020-02-26,shares,-1366.820462471929
1,2020-02-27,shares,-1462.4159698251744
1,2020-02-28,shares,-1463.2719543263381
1,2020-03-02,shares,-1338.643295967913
1,2020-03-03,shares,-1382.552156345519
1,2020-03-04,shares,-1321.2658152308466
1,2020-03-05,shares,-1365.5605000123458
1,2020-03-06,shares,-1383.9393893000004
1,2020-03-09,shares,-1502.7988872555723
1,2020-03-10,shares,-1401.8364236828986
1,2020-03-11,shares,-1452.274663750417
1,2020-03-12,shares,-1611.408801855864
1,2020-03-13,shares,-1439.0042027679356
1,2020-03-16,shares,-1651.4594315359427
1,2020-03-17,shares,-1581.9030255259156
1,2020-03-18,shares,-1621.5997201493403
1,2020-03-19,shares,-1634.1204428252959
1,2020-03-20,shares,-1744.8961368652908
1,2020-03-23,shares,-1782.769571265898
1,2020-03-24,shares,-1620.2203179227479
1,2020-03-25,shares,-1629.1951492315386
1,2020-03-26,shares,-1547.7480120001483
1,2020-03-27,shares,-1614.5959115635737
1,2020-03-30,shares,-1569.7971187650112
1,2020-03-31,shares,-1573.007238039096
1,2020-04-01,shares,-1660.37106769972
1,2020-04-02,shares,-1633.11971567928
1,2020-04-03,shares,-1656.9321649150127
1,2020-04-06,shares,-1523.9836862866932
1,2020-04-07,shares,0.0
1,2020-04-08,shares,1503.3637350660922
1,2020-04-09,shares,1492.5930615922389
1,2020-04-13,shares,1463.860933211345
1,2020-04-14,shares,1393.4855147546464
1,2020-04-15,shares,1406.3214509728439
1,2020-04-16,shares,1395.2352596660642
1,2020-04-17,shares,1414.4272180550115
1,2020-04-20,shares,1444.4083724376662
1,2020-04-21,shares,1490.4795889172872
1,2020-04-22,shares,1448.7504207081827
1,2020-04-23,shares,1454.386800623112
1,2020-04-24,shares,1413.577404934946
1,2020-04-27,shares,1412.5789491551543
1,2020-04-28,shares,1435.8533250063074
1,2020-04-29,shares,1390.1921409894449
1,2020-04-30,shares,1361.470444586495
1,2020-05-01,shares,1383.7478460757882
1,2020-05-04,shares,1364.442608143205
1,2020-05-05,shares,1344.2667135431548
