Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1233.829640364833,2020-01-30,80.96749877929688,99.90009990008548,2020-02-06,81.30249786376953,100.31343170001736,213.11826831734408,0.002133313865856614,Long,Closed,0
1,0,22.89499334385755,2020-02-10,80.38694617144047,1.8404585975281649,2020-02-12,81.80000305175781,1.8728105253975225,28.638658746432036,0.015560610157107201,Long,Closed,1
2,0,0.3031911946065975,2020-02-10,80.3928606020582,0.024374407443779694,2020-02-14,81.23750305175781,0.02463049559711956,0.20708325029896432,0.00849592962522712,Long,Closed,1
3,0,9.756566896614459,2020-02-10,80.38521527640867,0.7842837303430356,2020-02-19,80.90499877929688,0.7893550328607211,3.4976637544815974,0.00445969184258325,Long,Closed,1
4,0,1245.8555710968462,2020-02-10,80.38276561186244,100.14531635771071,2020-02-21,78.26249694824219,97.50376783091745,-2839.1976109819825,-0.02835077779214959,Long,Closed,1
5,0,21.682795805122396,2020-02-24,74.45947086513827,1.6144895025262533,2020-02-26,73.1624984741211,1.5863675150069467,24.921130501773483,0.015435919814144619,Short,Closed,2
6,0,124.62865835842513,2020-02-24,74.0587192905797,9.229838824928168,2020-03-02,74.70249938964844,9.310072274952956,-98.77336112467003,-0.010701526104432138,Short,Closed,2
7,0,61.286341114672496,2020-02-24,74.00381646957999,4.535423139942297,2020-03-04,75.68499755859375,4.638456577639132,-112.2073174144154,-0.024740209226838086,Short,Closed,2
8,0,100.96246357267364,2020-02-24,73.36952061714683,7.407567552653216,2020-03-10,71.33499908447266,7.202157246522779,190.8005813312608,0.025757521612195158,Short,Closed,2
9,0,172.40459908792855,2020-02-24,72.1111761857329,12.432298420060262,2020-03-13,69.49250030517578,11.980826654731583,427.05864025388524,0.03435073916539845,Short,Closed,2
10,0,69.5564060100271,2020-02-24,70.62418789537435,4.9123646873791,2020-03-17,63.21500015258789,4.397008216537329,506.0470979378543,0.1030149693971207,Short,Closed,2
11,0,162.5492533431502,2020-02-24,69.2225124123419,11.252067707163121,2020-03-24,61.720001220703125,10.032540114763613,1198.2429845775837,0.10649091489333788,Short,Closed,2
12,0,81.44713723139034,2020-02-24,69.17930996579341,5.634456752356865,2020-03-26,64.61000061035156,5.262299586231517,361.26040978675906,0.06411628053328222,Short,Closed,2
13,0,44.798792798562545,2020-02-24,68.87937930838879,3.085713041730106,2020-03-30,63.70249938964844,2.8537950709074176,225.97846271005088,0.073233790587134,Short,Closed,2
14,0,27.25135202043998,2020-02-24,68.41388279008923,1.8643708029978425,2020-04-02,61.23249816894531,1.6686683626928753,192.1694011392763,0.10307466778082702,Short,Closed,2
15,0,132.94847862831944,2020-02-24,68.29802937694258,9.080119098976786,2020-04-06,65.61750030517578,8.723746836966406,338.5683960744349,0.037286779213346145,Short,Closed,2
16,0,1523.9836862866932,2020-02-24,68.29802937694258,104.08508257598983,2020-04-07,64.85749816894531,98.84176914284173,5040.386581429251,0.048425638493867704,Short,Closed,2
